*PCF-ID,Description of LCA stage,Scope-characterization of LCA stage,*Assigned value chain portion,Emissions at stage (kg CO2e),*Emissions at this stage are exclusively transport,*Emissions at this stage are exclusively EndOfLife
10056-1-2014,Other: Raw Material,Scope 3,Upstream,1.15,No,No
10056-1-2014,Manufacturing,Scope 1 & 2,Operations,0.6,No,No
10056-1-2014,Consumer use,Scope 3,Downstream,0.15,No,No
10056-1-2014,Transportation,Scope 3,Downstream,0.09,Yes,No
10056-1-2014,Storage,Scope 3,Downstream,0.01,No,No
10056-1-2015,Material acquisition,Scope 3,Upstream,1.15,No,No
10056-1-2015,Manufacturing,Scope 1 & 2,Operations,0.6,No,No
10056-1-2015,Consumer use,Scope 3,Downstream,0.15,No,No
10056-1-2015,Transportation,Other: Scope 1 & 3,Downstream,0.09,Yes,No
10056-1-2015,Storage,"Scope 1, 2, & 3",Downstream,0.01,No,No
10222-1-2013,Cradle-to-Gate,N/a (field not yet included in 2013 reporting),Operations,78.17,No,No
10222-1-2013,Use Phase,N/a (field not yet included in 2013 reporting),Downstream,1.6,No,No
10222-1-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,0,No,Yes
10261-1-2017,Other: Production of materials composing the product,Scope 3,Upstream,456,No,No
10261-1-2017,Production,Scope 1,Operations,82,No,No
10261-1-2017,Consumer use,Scope 3,Downstream,894,No,No
10261-1-2017,End of life/Final disposal,Scope 3,Downstream,41,No,Yes
10261-1-2017,Distribution,Scope 3,Downstream,15,Yes,No
10261-2-2017,Other: Production of materials composing the product,Scope 3,Upstream,456,No,No
10261-2-2017,Production,Scope 1,Operations,82,No,No
10261-2-2017,Consumer use,Scope 3,Downstream,1224,No,No
10261-2-2017,End of life/Final disposal,Scope 3,Downstream,41,No,Yes
10261-2-2017,Distribution,Scope 3,Downstream,15,Yes,No
10261-3-2017,Other: Production of materials composing the product,Scope 3,Upstream,456,No,No
10261-3-2017,Production,Scope 1,Operations,82,No,No
10261-3-2017,Consumer use,Scope 3,Downstream,1680,No,No
10261-3-2017,End of life/Final disposal,Scope 3,Downstream,41,No,Yes
10261-3-2017,Distribution,Scope 3,Downstream,15,Yes,No
10670-1-2013,Pre-manufacturing,N/a (field not yet included in 2013 reporting),Upstream,0.772,No,No
10670-1-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.001,No,No
10670-1-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,3.67,No,No
10670-1-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,2.4,Yes,No
10670-1-2013,Disposal,N/a (field not yet included in 2013 reporting),Downstream,0,No,Yes
10834-1-2015,Packaging,"Scope 1, 2, & 3",Upstream,0.2,No,No
10834-1-2015,Production,"Scope 1, 2, & 3",Operations,2.61,No,No
10834-1-2015,Consumer use,BLANK,Downstream,1.4,No,No
10834-1-2015,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,0.06,No,Yes
10834-1-2015,Distribution,"Scope 1, 2, & 3",Downstream,0.05,Yes,No
1085-1-2013,Sugar beet supply - field preparation to factory gate,N/a (field not yet included in 2013 reporting),Upstream,300,No,No
1085-1-2013,Industrial process - raw materials to final product storage,N/a (field not yet included in 2013 reporting),Operations,350,No,No
11632-1-2016,Manufacturing,Scope 1 & 2,Operations,1.6766798,No,No
11632-1-2016,Pre-processing,Scope 1 & 2,Operations,0.033518,No,No
11632-1-2016,Operation of premises,Scope 1 & 2,Operations,0.0086553,No,No
11632-1-2016,Assembly,Scope 1 & 2,Operations,0.0001828,No,No
1198-1-2014,Material acquisition,Scope 3,Upstream,0.5644,No,No
1198-1-2014,Assembly,Scope 3,Operations,0.1429,No,No
1198-1-2014,Distribution,Scope 3,Downstream,0.4095,Yes,No
1198-1-2014,Transportation,Scope 3,Downstream,0.1087,Yes,No
1198-1-2014,End of life/Final disposal,Scope 3,Downstream,0.0557,No,Yes
1198-1-2015,Material acquisition,Scope 3,Upstream,0.5644,No,No
1198-1-2015,Assembly,Scope 3,Operations,0.1429,No,No
1198-1-2015,Distribution,Scope 3,Downstream,0.4095,Yes,No
1198-1-2015,Transportation,Scope 3,Downstream,0.1087,Yes,No
1198-1-2015,End of life/Final disposal,Scope 3,Downstream,0.0558,No,Yes
1198-2-2013,USB & Packaging Raw Materials & Manufacture,N/a (field not yet included in 2013 reporting),Upstream,1.545,No,No
1198-2-2013,Upstream Transportation & Distribution,N/a (field not yet included in 2013 reporting),Upstream,0.1812,Yes,No
1198-2-2013,USB & Packaging Assembly,N/a (field not yet included in 2013 reporting),Operations,0.0507,No,No
1198-2-2013,Downstream Transportation & Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.4466,Yes,No
1198-2-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,0.0615,No,Yes
1198-2-2014,Material acquisition,Scope 3,Upstream,1.545,No,No
1198-2-2014,Assembly,Scope 3,Operations,0.0507,No,No
1198-2-2014,Distribution,Scope 3,Downstream,0.4466,Yes,No
1198-2-2014,Transportation,Scope 3,Downstream,0.1812,Yes,No
1198-2-2014,End of life/Final disposal,Scope 3,Downstream,0.0615,No,Yes
1198-2-2015,Material acquisition,Scope 3,Upstream,1.545,No,No
1198-2-2015,Assembly,Scope 3,Operations,0.0507,No,No
1198-2-2015,Distribution,Scope 3,Downstream,0.4466,Yes,No
1198-2-2015,Transportation,Scope 3,Downstream,0.1812,Yes,No
1198-2-2015,End of life/Final disposal,Scope 3,Downstream,0.0616,No,Yes
1198-4-2015,Material acquisition,Scope 3,Upstream,0.7295,No,No
1198-4-2015,Assembly,Scope 3,Operations,0.2859,No,No
1198-4-2015,Distribution,Scope 3,Downstream,0.4643,Yes,No
1198-4-2015,Transportation,Scope 3,Downstream,0.1291,Yes,No
1198-4-2015,End of life/Final disposal,Scope 3,Downstream,0.0598,No,Yes
12134-1-2017,Manufacturing,Scope 1,Operations,156,No,No
12134-1-2017,Manufacturing,Scope 2,Operations,16,No,No
12134-1-2017,Transportation,Scope 3,Downstream,27,Yes,No
12134-2-2017,Manufacturing,Scope 1,Operations,67,No,No
12134-2-2017,Manufacturing,Scope 2,Operations,2,No,No
12134-2-2017,Transportation,Scope 3,Downstream,1,Yes,No
12134-3-2017,Manufacturing,Scope 2,Operations,4,No,No
12134-3-2017,Manufacturing,Scope 1,Operations,0.1,No,No
12134-3-2017,Transportation,Scope 3,Downstream,0.01,Yes,No
12134-4-2017,Manufacturing,Scope 1,Operations,7,No,No
12134-4-2017,Manufacturing,Scope 2,Operations,0.5,No,No
12134-4-2017,Transportation,Scope 3,Downstream,0.2,Yes,No
12134-5-2017,Manufacturing,Scope 2,Operations,29,No,No
12134-5-2017,Manufacturing,Scope 1,Operations,12,No,No
12134-5-2017,Transportation,Scope 3,Downstream,1,Yes,No
12134-7-2017,Manufacturing,Scope 2,Operations,15,No,No
12134-7-2017,Manufacturing,Scope 1,Operations,0.05,No,No
12134-7-2017,Transportation,Scope 3,Downstream,123,Yes,No
12134-8-2017,Manufacturing,Scope 1,Operations,84345,No,No
12134-8-2017,Manufacturing,Scope 2,Operations,14081,No,No
12134-8-2017,Transportation,Scope 3,Downstream,649,Yes,No
12348-4-2014,Packaging,Scope 3,Upstream,1.64,No,No
12348-4-2014,Other: Raw Materials (Agriculture and processing),"Scope 1, 2, & 3",Upstream,0.936,No,No
12348-4-2014,Processing,Scope 1 & 2,Operations,1.134,No,No
12348-4-2014,Distribution,Scope 3,Downstream,0.2436,Yes,No
12348-4-2014,Consumer use,Scope 3,Downstream,0.014,No,No
12348-4-2014,End of life/Final disposal,Scope 3,Downstream,-0.504,No,Yes
12903-1-2015,Production,Scope 2,Operations,123,No,No
12903-1-2015,Other: Use,Scope 2,Downstream,1468,No,No
12903-1-2015,Transportation,Scope 2,Downstream,55,Yes,No
12903-1-2015,Other: EOL,Scope 2,Downstream,2,No,Yes
12903-3-2015,Production,Scope 2,Operations,259,No,No
12903-3-2015,Other: Use,Scope 2,Downstream,10000,No,No
12903-3-2015,Other: EOL,Scope 2,Downstream,0.8,No,Yes
12903-3-2015,Transportation,Scope 2,Downstream,0.5,Yes,No
12942-1-2013,Packaging: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Upstream,0.008,No,No
12942-1-2013,Cultivation: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Upstream,0.008,No,No
12942-1-2013,Processing: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Operations,0.006,No,No
12942-1-2013,Treatment: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Operations,0.0025,No,No
12942-1-2013,Overheads: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Operations,0.002,No,No
12942-1-2013,"Use and End-of-Life : For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso)  Note: End-of-Life has been aggregated to Use since the system doesn't allow for negative figures for emissions resulting from recovery, incl. recycling, of used packaging.",N/a (field not yet included in 2013 reporting),Downstream,0.034,No,No
12942-1-2013,"Boiler, coffee maker and cup manufacturing: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso)",N/a (field not yet included in 2013 reporting),Downstream,0.002,No,No
12942-1-2013,Delivery: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Downstream,0.002,Yes,No
12942-1-2013,Distribution: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Downstream,0.001,Yes,No
12942-1-2016,Other: Agriculture,Scope 3,Upstream,0.02,No,No
12942-1-2016,Packaging,Scope 3,Upstream,0.0056,No,No
12942-1-2016,Manufacturing,Scope 1 & 2,Operations,0.0057,No,No
12942-1-2016,Consumer use,Scope 3,Downstream,0.019,No,No
12942-1-2016,Distribution,Scope 3,Downstream,0.0013,Yes,No
12942-1-2016,End of life/Final disposal,Scope 3,Downstream,0,No,Yes
12942-2-2013,2. Packaging / Equipment Production:  Extraction of raw materials and production of the drinking container and drinking glasses used. Transportation of all production materials for these components up to the point of manufacture are included in this phase.,N/a (field not yet included in 2013 reporting),Upstream,0.0662,No,No
12942-2-2013,1. Beverage Production: Pumping and treatment of the drinking water either at a municipal water plant or at a bottled beverage production facility. Transportation of all water production materials up to the point of manufacture is included in this phase.,N/a (field not yet included in 2013 reporting),Operations,0.0071,No,No
12942-2-2013,"4. Distribution and Marketplace:  Activities related to marketing the products, including operation of retail outlets and/or coolers.",N/a (field not yet included in 2013 reporting),Downstream,0.0584,Yes,No
12942-2-2013,"6. Use and End-of-Life : as the system doesn't allow for negative figures, we have aggregated Use phase and End-of-life phase.   Use: Washing & Refrigeration Refrigeration of the water at the user’s home. Commercial coolers are included in the Distribution and Marketplace stage mentioned above.  End of Life:  Disposal of all materials by either landfilling, waste-to-energy or recycling. For disposal options that reflect a beneficial use of the material, these benefits are added to the system by expanding the system boundary to include the environmental burdens that are avoided by not needing to otherwise fulfill these functions. This includes the avoidance of electricity generation from waste-to-energy operations and avoidance of virgin material production from material recycling. At the end-of-life stage (and in all stages), emissions are included and equally evaluated regardless of the timing of their occurrence.  The Emissions (kg CO2e) per unit at the End of Life stage is -0.004.",N/a (field not yet included in 2013 reporting),Downstream,0.0072,No,No
12942-2-2013,"3. Use - Transport:  All transportation occurring in the system beginning with the immediate suppliers to the manufacturers of beverage products and drinking containers, and ending with the transport of all materials to end-of-life. Also included are transportation of products from point of manufacture to point of sale.",N/a (field not yet included in 2013 reporting),Downstream,0.0054,Yes,No
12942-2-2014,Other: Packaging / Equipment Production,Scope 3,Upstream,0.0662,No,No
12942-2-2014,Other: Beverage Production,Scope 3,Operations,0.0071,No,No
12942-2-2014,Other: Distribution and Marketplace,Scope 3,Downstream,0.0584,Yes,No
12942-2-2014,Other: Use - Washing & Refrigeration,Scope 3,Downstream,0.0076,No,No
12942-2-2014,Other: Transport,Scope 3,Downstream,0.0054,Yes,No
12942-2-2014,Other: End of Life,Scope 3,Downstream,0,No,Yes
12942-2-2015,Other: Packaging / Equipment Production,Scope 3,Upstream,0.0662,No,No
12942-2-2015,Other: Beverage Production,"Scope 1, 2, & 3",Operations,0.0071,No,No
12942-2-2015,Other: Distribution and Marketplace,Scope 3,Downstream,0.0584,Yes,No
12942-2-2015,Other: Use - Washing & Refrigeration,Scope 3,Downstream,0.0076,No,No
12942-2-2015,Transportation,Scope 3,Downstream,0.0054,Yes,No
12942-2-2015,End of life/Final disposal,Scope 3,Downstream,0,No,Yes
12942-2-2016,Other: Packaging / Equipment Production,Scope 3,Upstream,0.0662,No,No
12942-2-2016,Other: Beverage Production,"Scope 1, 2, & 3",Operations,0.0071,No,No
12942-2-2016,Other: Distribution and Marketplace,Scope 3,Downstream,0.0584,Yes,No
12942-2-2016,Other: Use - Washing & Refrigeration,Scope 3,Downstream,0.0076,No,No
12942-2-2016,Transportation,Scope 3,Downstream,0.0054,Yes,No
12942-2-2016,End of life/Final disposal,Scope 3,Downstream,0,No,Yes
12942-3-2013,1a.Packaging production for France.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Upstream,0.081,No,No
12942-3-2013,1c.Product assembly and preservation process for France.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Operations,0.014,No,No
12942-3-2013,1b.Distribution for France.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.076,Yes,No
12942-3-2013,1d.End of life of packaging for France.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.013,No,Yes
12942-4-2013,2a.Packaging production for Spain.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Upstream,0.081,No,No
12942-4-2013,2c. Product assembly and preservation process for Spain.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Operations,0.019,No,No
12942-4-2013,2b. Distribution for Spain.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.041,Yes,No
12942-4-2013,2d.End of life of packaging for Spain.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.002,No,Yes
12942-5-2013,3a. Packaging production for Germany.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Upstream,0.081,No,No
12942-5-2013,3c. Product assembly and preservation process for Germany.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Operations,0.014,No,No
12942-5-2013,3b.Distribution for Germany.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.028,Yes,No
12942-5-2013,3d. End of life of packaging for Germany.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.002,No,Yes
13360-1-2013,raw materials and acquisition,N/a (field not yet included in 2013 reporting),Upstream,6.5,No,No
13360-1-2013,Nokia factory,N/a (field not yet included in 2013 reporting),Operations,0.5,No,No
13360-1-2013,Product usage,N/a (field not yet included in 2013 reporting),Downstream,3,No,No
13360-1-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,1.9,Yes,No
13360-1-2013,Recycling,N/a (field not yet included in 2013 reporting),Downstream,0.1,No,Yes
13360-1-2014,Material acquisition,Scope 3,Upstream,6.5,No,No
13360-1-2014,Manufacturing,Scope 1 & 2,Operations,0.5,No,No
13360-1-2014,Consumer use,Scope 3,Downstream,3,No,No
13360-1-2014,Transportation,Scope 3,Downstream,1.9,Yes,No
13360-1-2014,Recycling,Scope 3,Downstream,0.1,No,Yes
13360-2-2013,Raw materials and acquisition,N/a (field not yet included in 2013 reporting),Upstream,10.6,No,No
13360-2-2013,Nokia factory,N/a (field not yet included in 2013 reporting),Operations,0.6,No,No
13360-2-2013,Product usage,N/a (field not yet included in 2013 reporting),Downstream,2.6,No,No
13360-2-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,2.3,Yes,No
13360-2-2013,Recycling,N/a (field not yet included in 2013 reporting),Downstream,0.1,No,Yes
13360-3-2013,Raw materials and acquisition,N/a (field not yet included in 2013 reporting),Upstream,3.2,No,No
13360-3-2013,Nokia factory,N/a (field not yet included in 2013 reporting),Operations,0.6,No,No
13360-3-2013,Product usage,N/a (field not yet included in 2013 reporting),Downstream,3.2,No,No
13360-3-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,1.4,Yes,No
13360-3-2013,Recycling,N/a (field not yet included in 2013 reporting),Downstream,0.06,No,Yes
14021-1-2013,Production,N/a (field not yet included in 2013 reporting),Operations,9.17,No,No
14021-1-2013,Other: Facility,N/a (field not yet included in 2013 reporting),Operations,0.04,No,No
14021-1-2013,Other: Combustion,N/a (field not yet included in 2013 reporting),Downstream,49.4,No,No
14021-1-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,1.97,Yes,No
14021-1-2015,Production,Scope 1,Operations,9.17,No,No
14021-1-2015,Other: Facility,Scope 1,Operations,0.04,No,No
14021-1-2015,Other: Combustion,Scope 1,Downstream,49.4,No,No
14021-1-2015,Distribution,Scope 1,Downstream,1.97,Yes,No
14021-1-2016,Other: Extraction and Liquefaction,Scope 3,Upstream,7.48,No,No
14021-1-2016,Energy/Fuel,Scope 1 & 2,Operations,0.38,No,No
14021-1-2016,Other: Facility,Scope 3,Operations,0.34,No,No
14021-1-2016,Other: Combustion,Scope 3,Downstream,50.96,No,No
14021-1-2016,Transportation,Scope 3,Downstream,1.48,Yes,No
149-1-2013,Material,N/a (field not yet included in 2013 reporting),Upstream,106.64,No,No
149-1-2013,producing process,N/a (field not yet included in 2013 reporting),Operations,113.36,No,No
149-1-2013,transportation,N/a (field not yet included in 2013 reporting),Downstream,24.09,Yes,No
15398-10-2014,Material acquisition,Scope 3,Upstream,32.77,No,No
15398-10-2014,Assembly,Scope 1 & 2,Operations,0.46,No,No
15398-10-2014,Transportation,Scope 3,Downstream,0.08,Yes,No
15398-11-2014,Material acquisition,Scope 3,Upstream,78.02,No,No
15398-11-2014,Assembly,Scope 1 & 2,Operations,10.73,No,No
15398-11-2014,Transportation,Scope 3,Downstream,0.21,Yes,No
15398-1-2013,Raw Materials,N/a (field not yet included in 2013 reporting),Upstream,68.89,No,No
15398-1-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.9,No,No
15398-1-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,0.22,Yes,No
15398-12-2014,Material acquisition,Scope 3,Upstream,17.09,No,No
15398-12-2014,Assembly,Scope 1 & 2,Operations,2.27,No,No
15398-12-2014,Transportation,Scope 3,Downstream,0.02,Yes,No
15398-13-2015,Material acquisition,Scope 3,Upstream,64.34,No,No
15398-13-2015,Assembly,Scope 1 & 2,Operations,1.48,No,No
15398-13-2015,Transportation,Scope 3,Downstream,0.37,Yes,No
15398-13-2016,Material acquisition,Scope 3,Upstream,72.64,No,No
